Date,Open,High,Low,Close,Volume
2016-07-25,69.427,69.7759,68.925,69.7589,4180100
2016-07-26,70.4141,70.9246,69.461,69.8525,5134900
2016-07-27,69.9886,71.1289,69.9035,70.9672,4057200
2016-07-28,70.8395,70.9587,69.7333,70.5672,4862000
2016-07-29,70.6864,71.0097,70.3205,70.5332,3016200
2016-08-01,70.6438,71.2991,70.5758,70.78,3131100
2016-08-02,70.7459,71.2225,70.2609,70.8991,3340100
2016-08-03,70.9842,70.9842,70.0822,70.3886,2940900
2016-08-04,70.6438,70.6438,70.0907,70.1333,2093800
2016-08-05,70.1333,70.2184,68.959,69.4015,5886900
2016-08-08,69.2994,69.6482,68.4655,69.4355,4227300
2016-08-09,69.5632,69.895,68.6697,69.3504,2242800
2016-08-10,68.1761,69.0611,67.7932,68.542,4956700
2016-08-11,68.4907,69.0815,68.4907,68.9873,2408000
2016-08-12,68.6705,69.1244,68.4222,68.6962,2525000
2016-08-15,68.7904,69.0387,68.5677,68.7305,2780400
2016-08-16,68.7219,68.8503,68.3708,68.3708,2158700
2016-08-17,68.6448,68.8075,68.1481,68.602,2519500
2016-08-18,68.5934,68.8332,68.071,68.3194,3037200
2016-08-19,68.1224,68.3279,67.463,67.7028,3745500
2016-08-22,67.9255,68.4222,67.6686,67.8998,3157000
2016-08-23,68.2338,68.4821,68.0283,68.1396,3406900
2016-08-24,68.2509,68.4992,66.9492,67.1719,3423000
2016-08-25,67.1719,67.797,66.6238,66.8037,2800500
2016-08-26,66.8379,67.4973,66.6581,67.0006,2602300
2016-08-29,67.0777,67.4288,66.8379,67.3089,2203300
2016-08-30,67.3089,67.3089,66.4782,66.5981,2025700
2016-08-31,66.7009,66.8722,66.3926,66.581,2182600
2016-09-01,66.581,66.7951,65.7675,66.1357,3544700
2016-09-02,66.384,66.4782,65.4677,65.8103,3943400
2016-09-06,66.0415,67.3946,66.0415,67.2318,5528600
2016-09-07,67.2147,67.5572,67.0177,67.3003,2971400
2016-09-08,68.5335,68.6534,68.0026,68.4136,4405400
2016-09-09,68.1824,68.1824,66.9663,67.0006,4152500
2016-09-12,66.7865,67.8998,66.6324,67.72,3288900
2016-09-13,67.5401,67.5401,66.7865,67.2061,3149000
2016-09-14,67.3688,67.8569,66.8122,67.0434,2660900
2016-09-15,66.8978,67.7028,66.5981,67.4973,2652300
2016-09-16,67.3945,67.5744,66.9407,67.4802,4255100
2016-09-19,67.4716,67.9683,67.2147,67.7884,3321500
2016-09-20,68.191,68.8075,67.8998,68.405,3629400
2016-09-21,68.3365,69.3641,68.2338,69.2528,3147600
2016-09-22,69.407,69.7581,69.1329,69.6125,2639800
2016-09-23,69.3384,69.758,69.1672,69.5011,2197700
2016-09-26,69.3642,69.4926,68.0796,68.0968,4332800
2016-09-27,69.0387,69.3042,68.1738,69.2614,6888900
2016-09-28,69.2271,69.5097,68.5249,69.1158,2467800
2016-09-29,68.8075,68.9103,67.8484,68.2851,3269200
2016-09-30,68.5934,69.0644,68.5335,68.7305,3623000
2016-10-03,68.5078,69.4241,68.2423,69.3641,3983500
2016-10-04,69.4155,69.7152,69.0901,69.4583,3184100
2016-10-05,69.6639,70.2976,69.5611,70.0064,3560400
2016-10-06,69.5782,70.0321,69.1329,69.7666,2994200
2016-10-07,69.8523,70.486,69.6211,70.2976,4241400
2016-10-10,70.3318,71.2824,70.3061,71.1282,4608400
2016-10-11,70.7343,70.9484,69.5783,70.0578,4218200
2016-10-12,70.0578,70.4089,68.9017,68.9445,3629800
2016-10-13,68.4478,68.9274,68.1652,68.5078,3565000
2016-10-14,68.6534,68.7818,67.8313,67.8827,3143900
2016-10-17,68.1053,68.1053,66.8037,67.249,3884700
2016-10-18,67.7285,67.7799,67.2233,67.4545,3218300
2016-10-19,67.6172,67.934,67.2489,67.2746,2988500
2016-10-20,67.4202,67.7456,67.1291,67.4288,2661900
2016-10-21,67.2575,67.463,66.8636,67.0092,3215000
2016-10-24,67.2147,67.386,66.3155,66.4269,4363200
2016-10-25,65.836,67.0349,64.6542,66.581,8496000
2016-10-26,66.2984,66.4954,65.3993,65.7332,2988700
2016-10-27,66.247,66.2984,65.1937,65.2194,3789900
2016-10-28,64.757,64.8084,63.2498,63.8236,5651500
2016-10-31,63.9092,64.0034,63.1984,63.2327,3562100
2016-11-01,63.207,63.3526,61.5285,62.4962,8190500
2016-11-02,62.6418,62.933,62.2051,62.2136,4433900
2016-11-03,62.3507,62.7531,61.5543,61.7512,4843200
2016-11-04,61.7597,62.539,61.3744,62.0766,3617200
2016-11-07,62.7018,63.3098,62.5562,63.267,4969400
2016-11-08,63.0015,63.7722,62.8217,63.3868,2690800
2016-11-09,66.0672,67.9083,65.5791,67.1291,7332700
2016-11-10,68.06,68.6978,67.2325,67.5256,6904800
2016-11-11,67.2067,67.3101,66.1895,66.9481,3072700
2016-11-14,67.2411,67.4394,66.1034,66.3878,3221700
2016-11-15,66.7412,66.836,65.6637,66.6464,3097600
2016-11-16,66.8188,66.8188,66.2154,66.3188,1922300
2016-11-17,66.3706,67.0687,66.1378,66.9825,4519200
2016-11-18,66.8705,67.1635,65.9568,66.0861,4571600
2016-11-21,66.1982,66.405,65.5948,66.0602,4060300
2016-11-22,67.0687,67.0687,65.0776,65.5,5208800
2016-11-23,55.4582,58.9836,55.3203,58.6129,53877200
2016-11-25,59.0698,59.5956,58.4233,59.5784,8620700
2016-11-28,58.9836,58.9836,57.8372,57.9234,12507700
2016-11-29,58.2423,58.3027,57.3028,57.8803,8930000
2016-11-30,58.0096,58.4578,57.5872,57.8544,9085300
2016-12-01,58.001,58.0096,56.596,56.8632,7168100
2016-12-02,57.1476,58.9491,56.8546,58.363,12272200
2016-12-05,58.7509,58.8802,57.5269,57.9751,7286000
2016-12-06,57.9234,58.5526,57.863,58.4406,4617200
2016-12-07,57.9665,58.0785,57.3717,58.0785,5835900
2016-12-08,57.7941,57.9837,57.2252,57.9148,4811400
2016-12-09,58.0785,58.7595,57.9406,58.4837,4350800
2016-12-12,58.5957,59.0784,58.113,58.2768,5273700
2016-12-13,58.6043,59.3801,58.6043,59.1646,6010900
2016-12-14,58.975,59.406,58.2165,58.3285,6140300
2016-12-15,60.6558,61.7074,60.0438,61.5177,14320800
2016-12-16,62.802,63.5347,61.8539,63.1899,17584700
2016-12-19,63.3365,64.207,63.1813,63.2848,6102400
2016-12-20,63.483,63.8709,62.9227,63.2503,6001500
2016-12-21,63.2072,63.6899,63.0089,63.1382,5054100
2016-12-22,63.0606,63.3365,62.6469,63.1468,4827500
2016-12-23,63.3364,63.7847,63.1468,63.6036,2570100
2016-12-27,63.8364,64.1812,63.5089,63.6209,2786700
2016-12-28,63.4916,63.5951,62.8969,62.9744,3256800
2016-12-29,63.2589,63.6726,63.1296,63.4054,3031600
2016-12-30,63.3278,63.5692,63.121,63.3968,2933900
2017-01-03,63.733,64.3622,63.3882,64.3018,3622700
2017-01-04,64.6036,64.6467,64.1122,64.4053,3021600
2017-01-05,64.5863,67.1205,64.1553,65.1552,3310800
2017-01-06,65.0431,65.5689,64.6725,65.2241,2296500
2017-01-09,65.2241,66.043,65.0862,65.7413,3204100
2017-01-10,65.8878,65.9913,65.3448,65.7413,3559400
2017-01-11,65.9482,66.3016,63.7847,64.8708,7701700
2017-01-12,64.5174,66.8015,64.4398,66.4999,11900700
2017-01-13,66.3016,67.3359,65.8361,66.7153,5602600
2017-01-17,66.4223,66.4223,65.3966,66.2413,4913300
2017-01-18,66.6464,66.9825,66.2671,66.8274,3360300
2017-01-19,66.7757,66.905,66.1637,66.2326,4439200
2017-01-20,66.3878,66.724,65.9137,66.2068,4371200
2017-01-23,65.7155,66.2671,65.6465,65.7844,5055100
